Name                                             Project                        Compat   Latest   Kind         Platform
prost-derive->quote                              1.0.47                         ---      Removed  Normal       ---
prost-derive->syn                                2.0.119                        ---      Removed  Normal       ---
quinn-proto->tinyvec                             1.12.0                         1.13.2   1.13.2   Normal       ---
quote->proc-macro2                               1.0.107                        ---      Removed  Normal       ---
quote->proc-macro2                               1.0.107                        Removed  Removed  Normal       ---
rand->libc                                       0.2.189                        ---      Removed  Normal       cfg(unix)
rand->libc                                       0.2.189                        Removed  Removed  Normal       cfg(unix)
rand->rand_chacha                                0.3.1                          ---      Removed  Normal       ---
rand->rand_chacha                                0.3.1                          0.9.0    0.9.0    Normal       ---
rand->rand_core                                  0.6.4                          ---      Removed  Normal       ---
rand->rand_core                                  0.6.4                          0.9.5    0.9.5    Normal       ---
rand_chacha->ppv-lite86                          0.2.21                         ---      Removed  Normal       ---
rand_chacha->rand_core                           0.6.4                          ---      Removed  Normal       ---
rand_chacha->rand_core                           0.6.4                          0.9.5    0.9.5    Normal       ---
rand_core->getrandom                             0.2.17                         ---      Removed  Normal       ---
rand_core->getrandom                             0.2.17                         0.3.4    0.3.4    Normal       ---
ratatui-core->lru                                0.18.3                         0.18.4   0.18.4   Normal       ---
ring->cc                                         1.4.4                          1.4.5    1.4.5    Build        ---
rustc_version->semver                            1.0.28                         ---      Removed  Normal       ---
serde->serde_core                                1.0.229                        ---      Removed  Normal       ---
serde->serde_derive                              1.0.229                        ---      Removed  Normal       ---
serde_core->serde_derive                         1.0.229                        ---      Removed  Development  ---
serde_derive->proc-macro2                        1.0.107                        ---      Removed  Normal       ---
serde_derive->quote                              1.0.47                         ---      Removed  Normal       ---
serde_derive->syn                                3.0.4                          3.0.5    3.0.5    Normal       ---
serde_derive->syn                                3.0.4                          3.0.5    Removed  Normal       ---
serial_test_derive->syn                          3.0.4                          3.0.5    3.0.5    Normal       ---
sha2->cfg-if                                     1.0.4                          ---      Removed  Normal       ---
sha2->cpufeatures                                0.2.17                         ---      Removed  Normal       cfg(any(target_arch = "aarch64", target_arch = "x86_64", target_arch = "x86"))
sha2->digest                                     0.10.7                         ---      Removed  Normal       ---
signal-hook-mio->mio                             1.2.2                          1.2.3    1.2.3    Normal       ---
signature->rand_core                             0.6.4                          ---      Removed  Normal       ---
spki->base64ct                                   1.8.3                          ---      Removed  Normal       ---
spki->der                                        0.7.10                         ---      Removed  Normal       ---
sqlite-wasm-rs->cc                               1.4.4                          1.4.5    1.4.5    Build        ---
sqlite-wasm-rs->js-sys                           0.3.104                        0.3.105  0.3.105  Normal       ---
sqlite-wasm-rs->wasm-bindgen                     0.2.127                        0.2.128  0.2.128  Normal       ---
syn->proc-macro2                                 1.0.107                        ---      Removed  Normal       ---
syn->proc-macro2                                 1.0.107                        Removed  Removed  Normal       ---
syn->quote                                       1.0.47                         ---      Removed  Normal       ---
syn->quote                                       1.0.47                         Removed  Removed  Normal       ---
syn->unicode-ident                               1.0.24                         ---      Removed  Normal       ---
syn->unicode-ident                               1.0.24                         Removed  Removed  Normal       ---
termwiz->pest                                    2.9.0                          2.9.1    2.9.1    Normal       ---
